"","RE78","TREAT","MARR","NODEGREE","BLACK","HISPANIC","EDUC","AGE","RE74","RE75","U74","U75","TYPE"
"82",5843.8,0,0,1,1,0,3,55,0,0,1,1,"EXP"
"83",8598.5,0,0,1,1,0,10,20,0,0,1,1,"EXP"
"84",2920.2,0,0,1,1,0,11,34,0,0,1,1,"EXP"
"85",0,0,0,0,1,0,12,22,0,0,1,1,"EXP"
"86",6735.3,0,1,0,0,1,12,32,0,0,1,1,"EXP"
"87",0,0,0,1,1,0,10,31,0,0,1,1,"EXP"
"88",0,0,0,1,1,0,9,18,0,0,1,1,"EXP"
"89",0,0,0,1,0,1,10,50,0,0,1,1,"EXP"
"90",44.8,0,1,1,1,0,11,25,0,0,1,1,"EXP"
"91",0,0,1,1,1,0,10,23,0,0,1,1,"EXP"
"92",0,0,0,1,1,0,10,38,0,0,1,1,"EXP"
"93",3701.8,0,1,1,1,0,10,25,0,0,1,1,"EXP"
"94",6930.3,0,0,1,1,0,10,42,0,0,1,1,"EXP"
"95",3795.8,0,1,0,1,0,12,39,0,0,1,1,"EXP"
"96",5193.2,0,1,0,1,0,13,34,0,0,1,1,"EXP"
"97",2193.5,0,0,1,1,0,7,24,0,0,1,1,"EXP"
"98",11120.5,0,0,1,1,0,11,32,0,0,1,1,"EXP"
"99",7609.5,0,0,0,1,0,13,27,0,0,1,1,"EXP"
"100",2169,0,0,1,1,0,10,26,0,0,1,1,"EXP"
"101",0,0,0,1,1,0,11,44,0,0,1,1,"EXP"
"102",1264.2,0,0,1,1,0,11,25,0,0,1,1,"EXP"
"103",0,0,0,0,1,0,12,25,0,0,1,1,"EXP"
"104",0,0,1,0,1,0,12,28,0,0,1,1,"EXP"
"105",0,0,0,1,1,0,10,32,0,0,1,1,"EXP"
"106",0,0,0,1,1,0,10,22,0,0,1,1,"EXP"
"107",5712.6,0,0,1,1,0,9,19,0,0,1,1,"EXP"
"108",0,0,1,1,1,0,10,31,0,0,1,1,"EXP"
"109",0,0,0,1,1,0,11,23,0,0,1,1,"EXP"
"110",0,0,0,1,1,0,11,33,0,0,1,1,"EXP"
"111",1184.9,0,0,1,1,0,10,27,0,0,1,1,"EXP"
"112",10225.9,0,1,1,1,0,11,29,0,0,1,1,"EXP"
"113",0,0,0,1,1,0,10,23,0,0,1,1,"EXP"
"114",4715.4,0,1,1,1,0,9,25,0,0,1,1,"EXP"
"115",289.8,0,0,1,1,0,10,25,0,0,1,1,"EXP"
"116",0,0,0,1,1,0,10,24,0,0,1,1,"EXP"
"117",8190.4,0,0,1,0,0,8,28,0,0,1,1,"EXP"
"118",4813.1,0,0,1,1,0,6,26,0,0,1,1,"EXP"
"119",7344.7,0,1,0,1,0,14,30,0,0,1,1,"EXP"
"120",0,0,1,1,1,0,10,25,0,0,1,1,"EXP"
"121",0,0,1,1,1,0,11,29,0,0,1,1,"EXP"
"122",0,0,1,0,1,0,12,25,0,0,1,1,"EXP"
"123",0,0,0,0,1,0,13,28,0,0,1,1,"EXP"
"124",4350.9,0,0,1,1,0,11,23,0,0,1,1,"EXP"
"125",7812.5,0,0,1,1,0,11,54,0,0,1,1,"EXP"
"126",0,0,0,1,0,1,5,33,0,0,1,1,"EXP"
"127",3644.7,0,0,1,1,0,8,20,0,0,1,1,"EXP"
"128",4844.8,0,0,1,1,0,9,45,0,0,1,1,"EXP"
"129",0,0,0,1,1,0,6,39,0,0,1,1,"EXP"
"130",0,0,0,0,1,0,12,26,0,0,1,1,"EXP"
"131",0,0,0,1,1,0,10,23,0,0,1,1,"EXP"
"132",14792.9,0,0,0,0,0,12,27,0,0,1,1,"EXP"
"133",0,0,1,1,0,1,9,33,0,0,1,1,"EXP"
"134",0,0,1,1,1,0,10,25,0,0,1,1,"EXP"
"135",3746.7,0,0,1,1,0,8,23,0,0,1,1,"EXP"
"136",1568.2,0,0,1,1,0,8,18,0,0,1,1,"EXP"
"137",7010.4,0,0,1,1,0,8,17,0,0,1,1,"EXP"
"138",3811.7,0,0,1,0,1,9,19,0,0,1,1,"EXP"
"139",10798.6,0,0,1,0,1,8,18,0,0,1,1,"EXP"
"140",4657.3,0,0,1,1,0,11,18,0,0,1,1,"EXP"
"141",8551.5,0,0,1,1,0,11,17,0,0,1,1,"EXP"
"142",4309.9,0,0,1,1,0,10,19,0,0,1,1,"EXP"
"143",5286.4,0,0,1,1,0,10,19,0,0,1,1,"EXP"
"144",12486.2,0,0,1,1,0,9,18,0,0,1,1,"EXP"
"145",10877.4,0,0,1,1,0,9,18,0,0,1,1,"EXP"
"146",202.3,0,0,1,1,0,10,18,0,0,1,1,"EXP"
"147",2657.7,0,0,1,1,0,10,17,0,0,1,1,"EXP"
"148",4132.6,0,0,1,1,0,7,18,0,0,1,1,"EXP"
"149",11303.1,0,0,1,1,0,11,18,0,0,1,1,"EXP"
"150",0,0,0,1,0,1,10,19,0,0,1,1,"EXP"
"151",0,0,0,1,1,0,9,18,0,0,1,1,"EXP"
"152",0,0,0,1,1,0,10,17,0,0,1,1,"EXP"
"153",2189.4,0,0,1,1,0,10,17,0,0,1,1,"EXP"
"154",0,0,0,1,1,0,11,19,0,0,1,1,"EXP"
"155",10211,0,0,1,0,0,8,17,0,0,1,1,"EXP"
"156",11048.1,0,0,1,1,0,10,18,0,0,1,1,"EXP"
"157",0,0,0,1,1,0,9,18,0,0,1,1,"EXP"
"158",8993.9,0,0,1,1,0,8,17,0,0,1,1,"EXP"
"159",5071.8,0,0,1,0,1,6,19,0,0,1,1,"EXP"
"160",3194,0,0,1,0,0,10,19,0,0,1,1,"EXP"
"161",0,0,0,1,0,0,11,17,0,0,1,1,"EXP"
"162",5193.1,0,0,1,1,0,9,20,0,0,1,1,"EXP"
"163",0,0,0,1,1,0,9,17,0,0,1,1,"EXP"
"164",275.6,0,0,1,1,0,10,17,0,0,1,1,"EXP"
"165",3590.7,0,0,1,1,0,9,17,0,0,1,1,"EXP"
"166",0,0,0,1,1,0,11,19,0,0,1,1,"EXP"
"167",12797.7,0,1,1,1,0,10,19,0,0,1,1,"EXP"
"168",2035.9,0,0,1,1,0,9,20,0,0,1,1,"EXP"
"169",2389.7,0,0,1,1,0,9,18,0,0,1,1,"EXP"
"170",0,0,0,1,1,0,11,18,0,0,1,1,"EXP"
"171",8469.3,0,0,1,0,1,10,17,0,0,1,1,"EXP"
"172",0,0,0,1,1,0,11,19,0,0,1,1,"EXP"
"173",1143.4,0,0,1,1,0,10,17,0,0,1,1,"EXP"
"174",5114.8,0,0,1,0,1,9,17,0,0,1,1,"EXP"
"175",781.2,0,0,1,1,0,10,18,0,0,1,1,"EXP"
"176",3343.2,0,0,1,1,0,9,21,591.5,0,0,1,"EXP"
"177",9602.4,0,0,1,1,0,10,18,1563.2,0,0,1,"EXP"
"178",0,0,0,1,1,0,11,19,1626.6,0,0,1,"EXP"
"179",16461.6,0,0,1,1,0,9,24,2788.5,0,0,1,"EXP"
"180",6771.6,0,1,1,0,1,11,28,3472.9,0,0,1,"EXP"
"181",0,0,0,1,1,0,11,25,5281.2,0,0,1,"EXP"
"182",11011.6,0,0,1,1,0,7,21,33799.9,0,0,1,"EXP"
"183",0,0,0,1,1,0,11,39,0,83.7,1,0,"EXP"
"184",0,0,0,0,1,0,12,36,0,142.4,1,0,"EXP"
"185",0,0,0,0,1,0,12,24,0,159.9,1,0,"EXP"
"186",4251.1,0,0,1,1,0,11,17,989.3,165.2,0,0,"EXP"
"187",2891.7,0,0,1,1,0,10,18,960.4,240.1,0,0,"EXP"
"188",5514.4,0,0,1,1,0,10,18,0,273.6,1,0,"EXP"
"189",4858.9,0,0,1,1,0,10,28,1471.3,367.8,0,0,"EXP"
"190",4812.6,0,0,0,0,0,13,27,5214.3,474.5,0,0,"EXP"
"191",0,0,0,0,0,0,12,31,0,494.6,1,0,"EXP"
"192",604.2,0,0,1,1,0,9,22,0,506.4,1,0,"EXP"
"193",14527.9,0,0,1,1,0,10,31,0,520.4,1,0,"EXP"
"194",0,0,1,1,1,0,10,26,6140.4,558.8,0,0,"EXP"
"195",7300.5,0,0,1,0,0,9,18,0,559.6,1,0,"EXP"
"196",0,0,0,1,1,0,11,23,6382.3,580.8,0,0,"EXP"
"197",4159.9,0,0,0,1,0,12,20,0,591.8,1,0,"EXP"
"198",0,0,0,1,1,0,10,19,0,604.2,1,0,"EXP"
"199",5497.6,0,0,1,1,0,11,18,1064.7,645.3,0,0,"EXP"
"200",0,0,0,1,1,0,10,17,0,664.6,1,0,"EXP"
"201",0,0,1,0,1,0,12,27,0,752.4,1,0,"EXP"
"202",0,0,0,1,1,0,11,27,3065.2,766.3,0,0,"EXP"
"203",16477,0,0,0,0,0,12,28,0,803.3,1,0,"EXP"
"204",0,0,0,1,1,0,11,28,2431.9,863.5,0,0,"EXP"
"205",39483.5,0,0,1,1,0,10,21,6661.1,1162.4,0,0,"EXP"
"206",11306.3,0,0,1,0,1,10,17,4905.1,1168.9,0,0,"EXP"
"207",6672,0,0,1,1,0,11,26,4700,1175,0,0,"EXP"
"208",9378.7,0,0,1,1,0,9,29,0,1203.8,1,0,"EXP"
"209",5089,0,0,1,0,1,10,17,1203.6,1239.6,0,0,"EXP"
"210",2639.3,0,0,1,1,0,11,22,7914.1,1321.7,0,0,"EXP"
"211",9495.9,0,0,1,1,0,11,24,0,1328,1,0,"EXP"
"212",20893.1,0,0,0,1,0,12,20,557.7,1371.5,0,0,"EXP"
"213",0,0,0,0,1,0,12,18,0,1405.5,1,0,"EXP"
"214",10361.7,0,0,1,0,0,11,24,2669.7,1468.4,0,0,"EXP"
"215",1740.2,0,0,1,0,0,9,21,2988.4,1577.2,0,0,"EXP"
"216",0,0,0,1,1,0,8,30,0,1706.7,1,0,"EXP"
"217",0,0,0,1,1,0,11,31,17711.9,1726.4,0,0,"EXP"
"218",6354.2,0,0,1,0,1,10,17,1442.7,1734.6,0,0,"EXP"
"219",7171,0,0,1,1,0,9,19,8409.6,1778.1,0,0,"EXP"
"220",5573.5,0,0,1,1,0,11,23,0,1896,1,0,"EXP"
"221",439.7,0,0,0,1,0,12,22,4380,2003.7,0,0,"EXP"
"222",16970,0,0,0,1,0,12,29,22859.4,2080.2,0,0,"EXP"
"223",5344,0,0,1,1,0,10,22,0,2175,1,0,"EXP"
"224",2725.3,0,0,0,1,0,13,29,718.2,2265.6,0,0,"EXP"
"225",9772.3,0,0,1,1,0,11,19,721.3,2445.6,0,0,"EXP"
"226",0,0,0,1,1,0,9,17,0,2595.3,1,0,"EXP"
"227",0,0,0,1,1,0,10,18,1716.5,2682.1,0,0,"EXP"
"228",1720.9,0,0,0,1,0,12,19,8417,2814.2,0,0,"EXP"
"229",0,0,0,1,1,0,6,20,6006.9,2850.6,0,0,"EXP"
"230",18859.9,0,0,1,1,0,11,33,10523.8,2899.8,0,0,"EXP"
"231",1324.5,0,0,1,0,1,11,36,5443.7,3063.9,0,0,"EXP"
"232",284.7,0,0,1,1,0,11,25,15210,3072.7,0,0,"EXP"
"233",11195.9,0,0,1,1,0,11,19,3504,3285.7,0,0,"EXP"
"234",0,0,0,1,1,0,8,23,7724.3,3403.1,0,0,"EXP"
"235",0,0,0,1,1,0,11,17,4080.7,3796,0,0,"EXP"
"236",7565.3,0,0,1,1,0,10,43,2502.9,4128.4,0,0,"EXP"
"237",0,0,1,1,1,0,11,26,0,4184.7,1,0,"EXP"
"238",0,0,1,1,1,0,11,27,0,4491.9,1,0,"EXP"
"239",0,0,0,1,1,0,11,19,6337.5,4503.1,0,0,"EXP"
"240",4974.6,0,1,1,1,0,11,28,8593.2,5393.9,0,0,"EXP"
"241",12780,0,1,0,1,0,12,28,10585.1,5551.5,0,0,"EXP"
"242",3523.6,0,0,1,1,0,8,26,1126.3,5562.6,0,0,"EXP"
"243",0,0,0,0,1,0,12,31,0,5613.9,1,0,"EXP"
"244",10274.8,0,0,1,1,0,11,23,7617.4,5716.4,0,0,"EXP"
"245",4779.7,0,0,0,1,0,12,20,7182.5,6004.7,0,0,"EXP"
"246",16988.2,0,1,1,1,0,10,28,8293.3,6449.5,0,0,"EXP"
"247",499.3,0,1,0,1,0,12,39,19785.3,6608.1,0,0,"EXP"
"248",3083.6,0,0,1,1,0,8,21,39570.7,6608.3,0,0,"EXP"
"249",3708.7,0,0,1,1,0,11,22,8810.1,6974.5,0,0,"EXP"
"250",7659.2,0,0,1,1,0,11,20,8009.2,7666.9,0,0,"EXP"
"251",20857.8,0,0,1,0,1,11,21,2992.5,8920.5,0,0,"EXP"
"252",7078.2,0,0,0,0,1,12,23,5721.7,8960.7,0,0,"EXP"
"253",0,0,0,1,1,0,9,29,9268.9,9160.7,0,0,"EXP"
"254",1239.8,0,1,1,1,0,9,28,10222.4,9210.4,0,0,"EXP"
"255",3982.8,0,1,1,1,0,11,30,0,9311.9,1,0,"EXP"
"256",0,0,1,1,1,0,10,25,13520,9319.4,0,0,"EXP"
"257",0,0,1,1,1,0,11,28,824.4,10033.9,0,0,"EXP"
"258",7094.9,0,0,1,0,0,10,22,27864.4,10598.7,0,0,"EXP"
"259",12359.3,0,1,1,1,0,9,44,12260.8,10857.2,0,0,"EXP"
"260",0,0,0,1,1,0,9,21,31886.4,12357.2,0,0,"EXP"
"261",0,0,0,1,1,0,11,28,17491.5,13371.3,0,0,"EXP"
"262",16900.3,0,0,1,0,1,9,29,9594.3,16341.2,0,0,"EXP"
"263",7344,0,1,1,1,0,9,25,24731.6,16946.6,0,0,"EXP"
"264",5448.8,0,1,1,0,0,10,22,25720.9,23032,0,0,"EXP"
"265",289.8,1,0,1,1,0,8,33,0,0,1,1,"EXP"
"266",4056.5,1,0,1,1,0,9,22,0,0,1,1,"EXP"
"267",0,1,0,0,1,0,12,23,0,0,1,1,"EXP"
"268",8472.2,1,0,1,1,0,11,32,0,0,1,1,"EXP"
"269",2164,1,0,0,1,0,16,22,0,0,1,1,"EXP"
"270",12418.1,1,1,0,0,0,12,33,0,0,1,1,"EXP"
"271",8173.9,1,0,1,1,0,9,19,0,0,1,1,"EXP"
"272",17094.6,1,0,0,1,0,13,21,0,0,1,1,"EXP"
"273",0,1,0,1,1,0,8,18,0,0,1,1,"EXP"
"274",18739.9,1,1,1,1,0,10,27,0,0,1,1,"EXP"
"275",3023.9,1,0,1,1,0,7,17,0,0,1,1,"EXP"
"276",3228.5,1,0,1,1,0,10,19,0,0,1,1,"EXP"
"277",14581.9,1,0,0,1,0,13,27,0,0,1,1,"EXP"
"278",7693.4,1,0,1,1,0,10,23,0,0,1,1,"EXP"
"279",10804.3,1,0,0,1,0,12,40,0,0,1,1,"EXP"
"280",10747.4,1,0,0,1,0,12,26,0,0,1,1,"EXP"
"281",0,1,0,1,1,0,11,23,0,0,1,1,"EXP"
"282",5149.5,1,0,0,0,0,14,41,0,0,1,1,"EXP"
"283",6408.9,1,0,1,0,0,9,38,0,0,1,1,"EXP"
"284",1991.4,1,0,1,1,0,11,24,0,0,1,1,"EXP"
"285",11163.2,1,0,1,1,0,10,18,0,0,1,1,"EXP"
"286",9643,1,1,1,1,0,11,29,0,0,1,1,"EXP"
"287",9897,1,0,1,1,0,11,25,0,0,1,1,"EXP"
"288",11142.9,1,0,1,0,1,10,27,0,0,1,1,"EXP"
"289",16218,1,0,1,1,0,10,17,0,0,1,1,"EXP"
"290",995.7,1,0,1,1,0,11,24,0,0,1,1,"EXP"
"291",0,1,0,1,1,0,10,17,0,0,1,1,"EXP"
"292",6551.6,1,0,1,1,0,4,48,0,0,1,1,"EXP"
"293",1574.4,1,1,1,1,0,11,25,0,0,1,1,"EXP"
"294",0,1,0,0,1,0,12,20,0,0,1,1,"EXP"
"295",3191.8,1,0,0,1,0,12,25,0,0,1,1,"EXP"
"296",20505.9,1,0,0,1,0,14,42,0,0,1,1,"EXP"
"297",6181.9,1,0,1,1,0,5,25,0,0,1,1,"EXP"
"298",5911.6,1,1,0,1,0,12,23,0,0,1,1,"EXP"
"299",3094.2,1,1,1,1,0,8,46,0,0,1,1,"EXP"
"300",0,1,0,1,1,0,10,24,0,0,1,1,"EXP"
"301",1254.6,1,0,0,1,0,12,21,0,0,1,1,"EXP"
"302",13188.8,1,0,1,0,0,9,19,0,0,1,1,"EXP"
"303",8061.5,1,0,1,1,0,8,17,0,0,1,1,"EXP"
"304",2788,1,1,1,0,1,8,18,0,0,1,1,"EXP"
"305",3972.5,1,0,1,1,0,11,20,0,0,1,1,"EXP"
"306",0,1,1,1,1,0,11,25,0,0,1,1,"EXP"
"307",0,1,0,1,1,0,8,17,0,0,1,1,"EXP"
"308",0,1,0,1,1,0,9,17,0,0,1,1,"EXP"
"309",12187.4,1,0,1,1,0,5,25,0,0,1,1,"EXP"
"310",4843.2,1,0,0,1,0,12,23,0,0,1,1,"EXP"
"311",0,1,0,1,1,0,8,28,0,0,1,1,"EXP"
"312",8087.5,1,1,1,1,0,11,31,0,0,1,1,"EXP"
"313",0,1,0,1,1,0,11,18,0,0,1,1,"EXP"
"314",2349,1,0,0,1,0,12,25,0,0,1,1,"EXP"
"315",590.8,1,1,1,1,0,11,30,0,0,1,1,"EXP"
"316",0,1,0,1,1,0,10,17,0,0,1,1,"EXP"
"317",1067.5,1,0,1,1,0,9,37,0,0,1,1,"EXP"
"318",7285,1,1,1,1,0,4,41,0,0,1,1,"EXP"
"319",13167.5,1,1,0,1,0,14,42,0,0,1,1,"EXP"
"320",1048.4,1,0,1,0,0,11,22,0,0,1,1,"EXP"
"321",0,1,0,1,1,0,8,17,0,0,1,1,"EXP"
"322",1923.9,1,0,1,1,0,8,29,0,0,1,1,"EXP"
"323",4666.2,1,0,1,1,0,10,35,0,0,1,1,"EXP"
"324",549.3,1,0,1,1,0,11,27,0,0,1,1,"EXP"
"325",762.9,1,0,1,1,0,4,29,0,0,1,1,"EXP"
"326",10694.3,1,0,1,1,0,9,28,0,0,1,1,"EXP"
"327",0,1,0,1,1,0,11,27,0,0,1,1,"EXP"
"328",0,1,0,1,0,0,7,23,0,0,1,1,"EXP"
"329",8546.7,1,1,1,1,0,5,45,0,0,1,1,"EXP"
"330",7479.7,1,0,0,1,0,13,29,0,0,1,1,"EXP"
"331",0,1,0,1,1,0,9,27,0,0,1,1,"EXP"
"332",647.2,1,0,0,1,0,13,46,0,0,1,1,"EXP"
"333",0,1,0,1,1,0,6,18,0,0,1,1,"EXP"
"334",11965.8,1,0,0,1,0,12,25,0,0,1,1,"EXP"
"335",9598.5,1,0,0,1,0,15,28,0,0,1,1,"EXP"
"336",18783.3,1,0,1,0,0,11,25,0,0,1,1,"EXP"
"337",18678.1,1,0,0,1,0,12,22,0,0,1,1,"EXP"
"338",0,1,0,1,1,0,9,21,0,0,1,1,"EXP"
"339",23005.6,1,0,1,1,0,11,40,0,0,1,1,"EXP"
"340",6456.7,1,0,1,1,0,11,22,0,0,1,1,"EXP"
"341",0,1,0,0,1,0,12,25,0,0,1,1,"EXP"
"342",2321.1,1,0,0,1,0,12,18,0,0,1,1,"EXP"
"343",4941.8,1,0,0,0,0,12,38,0,0,1,1,"EXP"
"344",0,1,0,0,1,0,13,27,0,0,1,1,"EXP"
"345",0,1,0,1,1,0,8,27,0,0,1,1,"EXP"
"346",0,1,0,1,1,0,11,38,0,0,1,1,"EXP"
"347",3881.3,1,0,1,0,1,8,23,0,0,1,1,"EXP"
"348",17231,1,0,1,1,0,11,26,0,0,1,1,"EXP"
"349",8048.6,1,0,0,0,0,12,21,0,0,1,1,"EXP"
"350",0,1,0,1,1,0,8,25,0,0,1,1,"EXP"
"351",14509.9,1,1,1,1,0,11,31,0,0,1,1,"EXP"
"352",0,1,0,1,1,0,10,17,0,0,1,1,"EXP"
"353",0,1,0,1,1,0,11,25,0,0,1,1,"EXP"
"354",9983.8,1,0,0,1,0,12,21,0,0,1,1,"EXP"
"355",0,1,0,1,1,0,11,44,0,0,1,1,"EXP"
"356",5587.5,1,0,0,0,0,12,25,0,0,1,1,"EXP"
"357",4482.8,1,0,1,1,0,9,18,0,0,1,1,"EXP"
"358",2456.2,1,0,0,1,0,12,42,0,0,1,1,"EXP"
"359",0,1,0,1,1,0,10,25,0,0,1,1,"EXP"
"360",26817.6,1,0,1,0,1,9,31,0,0,1,1,"EXP"
"361",0,1,0,1,1,0,10,24,0,0,1,1,"EXP"
"362",9265.8,1,0,1,1,0,10,26,0,0,1,1,"EXP"
"363",485.2,1,0,1,1,0,11,25,0,0,1,1,"EXP"
"364",4814.6,1,0,1,1,0,11,18,0,0,1,1,"EXP"
"365",7458.1,1,0,1,1,0,11,19,0,0,1,1,"EXP"
"366",0,1,0,1,1,0,9,43,0,0,1,1,"EXP"
"367",34099.3,1,0,0,1,0,13,27,0,0,1,1,"EXP"
"368",1953.3,1,0,1,1,0,9,17,0,0,1,1,"EXP"
"369",0,1,0,1,1,0,11,30,0,0,1,1,"EXP"
"370",0,1,1,1,1,0,10,26,2028,0,0,1,"EXP"
"371",8881.7,1,0,1,1,0,9,20,6084,0,0,1,"EXP"
"372",6210.7,1,0,1,0,1,9,17,445.2,74.3,0,0,"EXP"
"373",0,1,0,0,1,0,12,20,989.3,165.2,0,0,"EXP"
"374",929.9,1,0,1,1,0,11,18,858.3,214.6,0,0,"EXP"
"375",0,1,1,0,1,0,12,27,3670.9,334,0,0,"EXP"
"376",12558,1,0,0,0,0,12,21,3670.9,334,0,0,"EXP"
"377",22163.3,1,0,0,1,0,12,27,2143.4,357.9,0,0,"EXP"
"378",1652.6,1,0,0,1,0,12,20,0,377.6,1,0,"EXP"
"379",8124.7,1,0,1,1,0,10,19,0,385.3,1,0,"EXP"
"380",671.3,1,0,0,1,0,12,23,5506.3,501.1,0,0,"EXP"
"381",17815,1,0,0,1,0,14,29,0,679.7,1,0,"EXP"
"382",9737.2,1,0,1,1,0,10,18,0,798.9,1,0,"EXP"
"383",17685.2,1,0,1,1,0,9,19,0,798.9,1,0,"EXP"
"384",0,1,1,0,0,0,13,27,9381.6,853.7,0,0,"EXP"
"385",4321.7,1,0,1,0,0,11,18,3678.2,919.6,0,0,"EXP"
