RE78 TREAT MARR NODEGREE BLACK HISPANIC EDUC AGE RE74 RE75 U74 U75 TYPE
8173.9 1 0 1 1 0 9 19 0 0 1 1 EXP
17094.6 1 0 0 1 0 13 21 0 0 1 1 EXP
0 1 0 1 1 0 8 18 0 0 1 1 EXP
18739.9 1 1 1 1 0 10 27 0 0 1 1 EXP
3023.9 1 0 1 1 0 7 17 0 0 1 1 EXP
3228.5 1 0 1 1 0 10 19 0 0 1 1 EXP
14581.9 1 0 0 1 0 13 27 0 0 1 1 EXP
7693.4 1 0 1 1 0 10 23 0 0 1 1 EXP
10804.3 1 0 0 1 0 12 40 0 0 1 1 EXP
10747.4 1 0 0 1 0 12 26 0 0 1 1 EXP
0 1 0 1 1 0 11 23 0 0 1 1 EXP
5149.5 1 0 0 0 0 14 41 0 0 1 1 EXP
6408.9 1 0 1 0 0 9 38 0 0 1 1 EXP
1991.4 1 0 1 1 0 11 24 0 0 1 1 EXP
11163.2 1 0 1 1 0 10 18 0 0 1 1 EXP
9643 1 1 1 1 0 11 29 0 0 1 1 EXP
9897 1 0 1 1 0 11 25 0 0 1 1 EXP
11142.9 1 0 1 0 1 10 27 0 0 1 1 EXP
16218 1 0 1 1 0 10 17 0 0 1 1 EXP
995.7 1 0 1 1 0 11 24 0 0 1 1 EXP
0 1 0 1 1 0 10 17 0 0 1 1 EXP
6551.6 1 0 1 1 0 4 48 0 0 1 1 EXP
1574.4 1 1 1 1 0 11 25 0 0 1 1 EXP
0 1 0 0 1 0 12 20 0 0 1 1 EXP
3191.8 1 0 0 1 0 12 25 0 0 1 1 EXP
20505.9 1 0 0 1 0 14 42 0 0 1 1 EXP
6181.9 1 0 1 1 0 5 25 0 0 1 1 EXP
5911.6 1 1 0 1 0 12 23 0 0 1 1 EXP
3094.2 1 1 1 1 0 8 46 0 0 1 1 EXP
0 1 0 1 1 0 10 24 0 0 1 1 EXP
1254.6 1 0 0 1 0 12 21 0 0 1 1 EXP
13188.8 1 0 1 0 0 9 19 0 0 1 1 EXP
8061.5 1 0 1 1 0 8 17 0 0 1 1 EXP
2788 1 1 1 0 1 8 18 0 0 1 1 EXP
3972.5 1 0 1 1 0 11 20 0 0 1 1 EXP
0 1 1 1 1 0 11 25 0 0 1 1 EXP
0 1 0 1 1 0 8 17 0 0 1 1 EXP
0 1 0 1 1 0 9 17 0 0 1 1 EXP
12187.4 1 0 1 1 0 5 25 0 0 1 1 EXP
4843.2 1 0 0 1 0 12 23 0 0 1 1 EXP
0 1 0 1 1 0 8 28 0 0 1 1 EXP
8087.5 1 1 1 1 0 11 31 0 0 1 1 EXP
0 1 0 1 1 0 11 18 0 0 1 1 EXP
2349 1 0 0 1 0 12 25 0 0 1 1 EXP
590.8 1 1 1 1 0 11 30 0 0 1 1 EXP
0 1 0 1 1 0 10 17 0 0 1 1 EXP
1067.5 1 0 1 1 0 9 37 0 0 1 1 EXP
7285 1 1 1 1 0 4 41 0 0 1 1 EXP
13167.5 1 1 0 1 0 14 42 0 0 1 1 EXP
1048.4 1 0 1 0 0 11 22 0 0 1 1 EXP
0 1 0 1 1 0 8 17 0 0 1 1 EXP
1923.9 1 0 1 1 0 8 29 0 0 1 1 EXP
4666.2 1 0 1 1 0 10 35 0 0 1 1 EXP
549.3 1 0 1 1 0 11 27 0 0 1 1 EXP
762.9 1 0 1 1 0 4 29 0 0 1 1 EXP
10694.3 1 0 1 1 0 9 28 0 0 1 1 EXP
0 1 0 1 1 0 11 27 0 0 1 1 EXP
0 1 0 1 0 0 7 23 0 0 1 1 EXP
8546.7 1 1 1 1 0 5 45 0 0 1 1 EXP
7479.7 1 0 0 1 0 13 29 0 0 1 1 EXP
0 1 0 1 1 0 9 27 0 0 1 1 EXP
647.2 1 0 0 1 0 13 46 0 0 1 1 EXP
0 1 0 1 1 0 6 18 0 0 1 1 EXP
11965.8 1 0 0 1 0 12 25 0 0 1 1 EXP
9598.5 1 0 0 1 0 15 28 0 0 1 1 EXP
18783.3 1 0 1 0 0 11 25 0 0 1 1 EXP
18678.1 1 0 0 1 0 12 22 0 0 1 1 EXP
0 1 0 1 1 0 9 21 0 0 1 1 EXP
23005.6 1 0 1 1 0 11 40 0 0 1 1 EXP
6456.7 1 0 1 1 0 11 22 0 0 1 1 EXP
0 1 0 0 1 0 12 25 0 0 1 1 EXP
2321.1 1 0 0 1 0 12 18 0 0 1 1 EXP
4941.8 1 0 0 0 0 12 38 0 0 1 1 EXP
0 1 0 0 1 0 13 27 0 0 1 1 EXP
0 1 0 1 1 0 8 27 0 0 1 1 EXP
0 1 0 1 1 0 11 38 0 0 1 1 EXP
3881.3 1 0 1 0 1 8 23 0 0 1 1 EXP
17231 1 0 1 1 0 11 26 0 0 1 1 EXP
8048.6 1 0 0 0 0 12 21 0 0 1 1 EXP
0 1 0 1 1 0 8 25 0 0 1 1 EXP
14509.9 1 1 1 1 0 11 31 0 0 1 1 EXP
0 1 0 1 1 0 10 17 0 0 1 1 EXP
0 1 0 1 1 0 11 25 0 0 1 1 EXP
9983.8 1 0 0 1 0 12 21 0 0 1 1 EXP
0 1 0 1 1 0 11 44 0 0 1 1 EXP
5587.5 1 0 0 0 0 12 25 0 0 1 1 EXP
4482.8 1 0 1 1 0 9 18 0 0 1 1 EXP
2456.2 1 0 0 1 0 12 42 0 0 1 1 EXP
0 1 0 1 1 0 10 25 0 0 1 1 EXP
26817.6 1 0 1 0 1 9 31 0 0 1 1 EXP
0 1 0 1 1 0 10 24 0 0 1 1 EXP
9265.8 1 0 1 1 0 10 26 0 0 1 1 EXP
485.2 1 0 1 1 0 11 25 0 0 1 1 EXP
4814.6 1 0 1 1 0 11 18 0 0 1 1 EXP
7458.1 1 0 1 1 0 11 19 0 0 1 1 EXP
0 1 0 1 1 0 9 43 0 0 1 1 EXP
34099.3 1 0 0 1 0 13 27 0 0 1 1 EXP
1953.3 1 0 1 1 0 9 17 0 0 1 1 EXP
0 1 0 1 1 0 11 30 0 0 1 1 EXP
0 1 1 1 1 0 10 26 2028 0 0 1 EXP
8881.7 1 0 1 1 0 9 20 6084 0 0 1 EXP
6210.7 1 0 1 0 1 9 17 445.2 74.3 0 0 EXP
0 1 0 0 1 0 12 20 989.3 165.2 0 0 EXP
929.9 1 0 1 1 0 11 18 858.3 214.6 0 0 EXP
0 1 1 0 1 0 12 27 3670.9 334 0 0 EXP
12558 1 0 0 0 0 12 21 3670.9 334 0 0 EXP
22163.3 1 0 0 1 0 12 27 2143.4 357.9 0 0 EXP
1652.6 1 0 0 1 0 12 20 0 377.6 1 0 EXP
8124.7 1 0 1 1 0 10 19 0 385.3 1 0 EXP
671.3 1 0 0 1 0 12 23 5506.3 501.1 0 0 EXP
17815 1 0 0 1 0 14 29 0 679.7 1 0 EXP
9737.2 1 0 1 1 0 10 18 0 798.9 1 0 EXP
17685.2 1 0 1 1 0 9 19 0 798.9 1 0 EXP
0 1 1 0 0 0 13 27 9381.6 853.7 0 0 EXP
4321.7 1 0 1 0 0 11 18 3678.2 919.6 0 0 EXP
1773.4 1 1 1 1 0 9 27 0 934.4 1 0 EXP
0 1 0 0 1 0 12 22 5605.9 936.2 0 0 EXP
11233.3 1 1 1 1 0 10 23 0 936.4 1 0 EXP
559.4 1 0 0 0 1 12 23 9385.7 1117.4 0 0 EXP
1085.4 1 0 1 1 0 11 20 3637.5 1220.8 0 0 EXP
5445.2 1 0 1 1 0 9 17 1716.5 1253.4 0 0 EXP
60307.9 1 0 1 1 0 11 28 0 1284.1 1 0 EXP
1460.4 1 1 1 1 0 11 26 0 1392.9 1 0 EXP
6943.3 1 0 1 1 0 11 20 16318.6 1485 0 0 EXP
4032.7 1 1 1 1 0 11 24 824.4 1666.1 0 0 EXP
10363.3 1 0 1 1 0 9 31 0 1698.6 1 0 EXP
4232.3 1 1 1 0 0 8 23 0 1713.2 1 0 EXP
11141.4 1 0 1 1 0 10 18 2143.4 1784.3 0 0 EXP
0 1 0 0 1 0 12 29 10881.9 1817.3 0 0 EXP
13385.9 1 0 1 0 0 11 26 0 2226.3 1 0 EXP
4849.6 1 0 1 1 0 9 24 9154.7 2288.7 0 0 EXP
0 1 0 0 1 0 12 25 14426.8 2409.3 0 0 EXP
1660.5 1 0 1 1 0 10 24 4250.4 2421.9 0 0 EXP
0 1 0 1 1 0 8 46 3165.7 2594.7 0 0 EXP
2484.5 1 0 0 0 0 12 31 0 2611.2 1 0 EXP
4146.6 1 0 1 1 0 11 19 2305 2615.3 0 0 EXP
9970.7 1 0 1 1 0 8 19 0 2657.1 1 0 EXP
0 1 0 1 1 0 11 27 2206.9 2666.3 0 0 EXP
26372.3 1 1 1 1 0 11 26 0 2754.6 1 0 EXP
5615.2 1 0 1 1 0 10 20 5005.7 2777.4 0 0 EXP
3196.6 1 0 1 1 0 10 28 0 2836.5 1 0 EXP
6167.7 1 0 0 1 0 12 24 13765.8 2842.8 0 0 EXP
7535.9 1 0 1 1 0 8 19 2636.4 2937.3 0 0 EXP
8484.2 1 0 0 1 0 12 23 6269.3 3040 0 0 EXP
1294.4 1 1 1 1 0 9 42 0 3058.5 1 0 EXP
0 1 0 0 1 0 13 25 12362.9 3090.7 0 0 EXP
5010.3 1 0 1 1 0 9 18 0 3287.4 1 0 EXP
9371 1 0 0 1 0 12 21 6473.7 3332.4 0 0 EXP
0 1 0 1 1 0 10 27 1001.1 3550.1 0 0 EXP
4279.6 1 0 1 1 0 8 21 989.3 3695.9 0 0 EXP
3462.6 1 0 1 1 0 9 22 2192.9 3837 0 0 EXP
7382.5 1 0 1 1 0 4 31 8517.6 4023.2 0 0 EXP
0 1 1 1 1 0 10 24 11703.2 4078.2 0 0 EXP
0 1 0 1 1 0 10 29 0 4399 1 0 EXP
10976.5 1 0 0 1 0 12 29 9748.4 4878.9 0 0 EXP
13829.6 1 0 1 0 0 10 19 0 5324.1 1 0 EXP
6788.5 1 1 1 0 1 11 19 5424.5 5463.8 0 0 EXP
9558.5 1 0 1 1 0 9 31 10717 5517.8 0 0 EXP
13228.3 1 1 1 1 0 10 22 1468.3 5588.7 0 0 EXP
743.7 1 0 1 1 0 9 21 6416.5 5749.3 0 0 EXP
5522.8 1 0 1 1 0 10 17 1291.5 5793.9 0 0 EXP
1424.9 1 1 0 1 0 12 26 8408.8 5794.8 0 0 EXP
1358.6 1 0 1 0 1 9 20 12260.8 5875 0 0 EXP
0 1 0 1 1 0 10 19 4121.9 6056.8 0 0 EXP
672.9 1 0 1 1 0 10 26 25929.7 6789 0 0 EXP
0 1 0 1 1 0 11 28 1929 6871.9 0 0 EXP
10092.8 1 1 0 0 1 12 22 492.2 7055.7 0 0 EXP
6281.4 1 0 1 1 0 11 33 0 7867.9 1 0 EXP
12590.7 1 0 0 0 0 12 22 6760 8455.5 0 0 EXP
5112 1 0 1 0 1 10 29 0 8853.7 1 0 EXP
15952.6 1 1 0 1 0 12 33 20279.9 10941.4 0 0 EXP
